##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	phred25_SRR492407_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	45521342
Sequences flagged as poor quality	0
Sequence length	0-101
%GC	39
>>END_MODULE
>>Per base sequence quality	fail
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1105	4	0.04675722880426747
1105	5	0.1344377558517067
1105	6	0.16847674523721423
1105	7	0.1607046608537388
1105	8	0.15457627531959872
1105	9	0.1919964415312947
1105	10-11	0.22032182634418263
1105	12-13	0.22678767615084894
1105	14-15	0.21261962072100715
1105	16-17	0.23845332896044624
1105	18-19	0.20616554937285514
1105	20-21	0.12203191689322779
1105	22-23	0.06361666423948265
1105	24-25	0.05001147392024308
1105	26-27	-0.1444976063835739
1105	28-29	-0.19135671509515362
1105	30-31	-0.18601561167448466
1105	32-33	-0.1433925657412516
1105	34-35	-0.10890077692274502
1105	36-37	-0.053190433951293414
1105	38-39	0.037578461391774454
1105	40-41	0.1531765302408843
1105	42-43	0.17440032795117588
1105	44-45	0.14437999478936803
1105	46-47	0.07396490557052005
1105	48-49	0.006910227266587299
1105	50-51	-0.09897323015203341
